"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"942622516304426752","Charming 2-Bed Home with Spacious Backyard & BBQ","279001183","MadeComfy",NULL,"Morningside - Seven Hills","-27.46889830909482","153.07751430748937","Entire home/apt","203","3","8","2024-03-30","0.76","93","339","8",NULL
"942649749269894182","Riverfront Panorama 2 kingbeds Best Fireworks View","106436754","Yorke",NULL,"Brisbane City","-27.469850709533","153.02083992832164","Entire home/apt","280","1","25","2024-05-17","2.62","23","147","25",NULL
"942696958106049469","Inner City Pad - Indooroopilly","205431023","AirKeeper",NULL,"Indooroopilly","-27.50062439853197","152.97069043651825","Entire home/apt",NULL,"2","13","2024-04-21","1.37","23","267","13",NULL
"943032723147694527","Luxury Large Riverside Epic View 3Bed2Bath CBD","49825105","Andrew",NULL,"Brisbane City","-27.462706163032628","153.03318665523804","Entire home/apt","289","1","86","2024-06-02","8.38","4","193","86",NULL
"943820618573390290","Cozy 3BR Apartment Walking Distance to GOMA","161494797","Airhome",NULL,"South Brisbane","-27.474204133297913","153.0132263516181","Entire home/apt","271","1","17","2024-05-24","1.94","11","48","17",NULL
"943832821075615245","Stunning City View w Infinity Pool, Gym & Balcony","78924442","Lee And Bella",NULL,"Fortitude Valley","-27.45734262747557","153.03292167880448","Entire home/apt","160","1","27","2024-05-11","2.7","228","358","27",NULL
"943860988291013930","Spacious 3BR Near Stadium w Views, Pool & Car Park","78924442","Lee And Bella",NULL,"Paddington - Milton","-27.470364225813597","153.00377205937437","Entire home/apt","261","1","31","2024-05-20","3.24","228","344","31",NULL
"943899807080153027","Stylish spacious Executive Apartment close to City","513698869","Gregori",NULL,"Albion","-27.43448714699611","153.04376097257904","Entire home/apt","144","2","30","2024-05-16","2.88","1","301","30",NULL
"944014872929902643","Cosy Apartment in Bulimba","33807665","Menante",NULL,"Bulimba","-27.45446353165422","153.0543491732327","Entire home/apt","254","2","49","2024-05-18","5.31","1","153","49",NULL
"944319567988880199","The Sophisticated Gabba","528105995","Crystal",NULL,"Woolloongabba","-27.4873541","153.0389881","Entire home/apt","280","2","1","2024-05-20","1","1","116","1",NULL
