"id","host_id","host_name","bedrooms","bathrooms","price","availability_90","reviews_per_month"
"30100494","226167189","Christine","3","1","166.00","23","1.21"
"1530759","8165214","Christine","2","2.5","160.00","59","1.14"
"995347593649359063","45576200","Christine & Ben","8","5.5","921.00","46",NULL
"50423002","45576200","Christine & Ben","6","4.5","648.00","50","1.32"
"999077007411042218","45576200","Christine & Ben","6","4.5","648.00","46","1"
"50412078","45576200","Christine & Ben","4","3.5","611.00","50","0.72"
"49198421","45576200","Christine & Ben","4","2","611.00","50","0.16"
"999462880629362401","45576200","Christine & Ben","4","2","551.00","46",NULL
"50256456","45576200","Christine & Ben","2","2.5","317.00","66","2.07"
"32618419","45576200","Christine & Ben","2","1","293.00","50","2.1"
"48911072","45576200","Christine & Ben","2","1","293.00","50","1.84"
"842962255624062327","45576200","Christine & Ben","2","1","263.00","64","1.9"
"35043488","45576200","Christine & Ben","2","2","261.00","79","2.64"
"48290013","45576200","Christine & Ben","2","2","257.00","71","3.61"
"38074538","45576200","Christine & Ben","2","2","246.00","60","2.8"
"48578742","45576200","Christine & Ben","2","1","241.00","87","3.45"
"48291924","45576200","Christine & Ben","2","1","188.00","88","2.39"
"44464936","118464619","Christopher","2","1","75.00","53","1.55"
"51412738","52614545","Christos","4","2.5","294.00","37","2.84"
"51412741","52614545","Christos","3","2.5","241.00","46","3.73"
"49778169","52614545","Christos","2","1","167.00","23","1.33"
"843605027811652845","69434871","Cindy","6","3","892.00","83","0.2"
"1019734887902596300","69434871","Cindy","7","4","585.00","51",NULL
"673431859979696979","69434871","Cindy","3","2","463.00","83","0.32"
"843687197391369671","69434871","Cindy","3","1","463.00","83",NULL
"1096044393380657881","69434871","Cindy","5","2","450.00","89",NULL
"704506938507749856","69434871","Cindy","4","2","425.00","90","0.35"
"858305558282537463","69434871","Cindy","4","2","395.00","84","0.36"
"1126245478037291611","69434871","Cindy","4","2","385.00","90",NULL
"724083798031806522","69434871","Cindy","2","2","295.00","84","0.53"
"50554148","82422084","Claire","3","1","269.00","38","2.25"
"13902813","82422084","Claire","3","2.5","269.00","58","1.18"
"15185569","82422084","Claire","3","2.5","269.00","21","1.64"
"19987086","82422084","Claire","2","1","192.00","31","1.81"
"1090919727352818648","33488214","Claire","2","1","147.00","73",NULL
"41122554","26231115","Claire","3","2","140.00","31","0.21"
"1069115748679190660","97507276","Clarence","2","2","211.00","40","2.17"
"53130285","95822385","Clay","2","2","162.00","21","0.83"
"1040928261034715387","549846818","Cleos","5","5","310.00","2",NULL
"1091650522403311091","147451752","Coby Lee","2","2","296.00","31","0.4"
"42780793","147451752","Coby Lee","2","2","283.00","54","0.39"
"45584262","50882034","Colby","3","1","226.00","80","3.5"
"821504212736813582","499965722","Colin","3","2.5","188.00","49","2.06"
"907518022030601962","23395016","Colleen","4","4","700.00","86","0.36"
"842325886447725408","23395016","Colleen","4","2.5","700.00","90","0.93"
"48302490","23395016","Colleen","5","3.5","673.00","34","1.49"
"53883546","23395016","Colleen","4","4","650.00","83","0.74"
"1068564181021420477","23395016","Colleen","5","2","600.00","53",NULL
"48034286","23395016","Colleen","3","2.5","509.00","50","1.1"
"10178775","23395016","Colleen","3","2","448.00","50","0.4"
"1068552401952182279","23395016","Colleen","3","1","400.00","68",NULL
"48962316","23395016","Colleen","2","2.5","375.00","55","0.99"
"51587032","23395016","Colleen","2","2.5","374.00","42","1.44"
"51334345","23395016","Colleen","3","1.5","352.00","51","0.77"
"907504638384189020","23395016","Colleen","2","1.5","351.00","86","0.19"
"35204624","23395016","Colleen","3","1","335.00","50","0.34"
"842336731578873507","23395016","Colleen","2","1","315.00","74","0.42"
"1068559924337221082","23395016","Colleen","2","1.5","310.00","82","0.61"
